Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: NVLX Barnawartha
Report Date: 
Comparison Date: Date not set
Total Yarding : NQ (NQ)
Commentary
"Numbers were similar and quality was very good, with increased numbers of young cattle suitable for the trade. Vealer numbers were marginally lower, while heavy grown steers and bullock supplies lifted moderately. A full field of domestic and export buyers were in attendance however fewer feedlots were operating. There were several store buyers in place on plainer conditioned yearlings.

Vealers sold to solid competition, with lighter weight European vealers lifting 10c to 12c and selling from 230c to 256c/kg. Yearling steers suitable for the trade sold to stronger price trends, benefiting from spirited competition from several domestic processors. Yearling trade steers to slaughter averaged 227.5c and reached a top price of 247c/kg for a pen of supplementary fed steers. Medium weight yearling heifers suitable for the trade sold to stronger demand from domestic buyers, with prices lifting 3c, to average 220c/kg. Feedlot competition was minimal and prices were unchanged for steers while heifers to place on feed lifted 10c to 18c/kg. Medium weight C2 steers over 400kg made from 212c to 235c/kg.

It was a very good quality selection of heavy grown steers and bullocks which sold to strong southern competition. Heavy grown steers and bullocks were 2c dearer. The better finished steers and bullocks made from 215c to 236c/kg. Heavy grown heifers were in limited numbers which resulted in a dearer trend of 10c to 16c/kg. The better finished heifers made from 200c to 222c/kg."
"Numbers were similar and quality was excellent, with increased numbers of young cattle grass finished and supplementary fed offered, which were suitable for the trade. Vealer numbers were comparable to the previous sale and quality was outstanding, while heavy grown steers and bullocks were in short supply. The usual field of domestic and export buyers were in attendance however fewer feedlots were operating. There were several store orders in place and secondary lines returning to the paddock sold to cheaper trends.

Vealers sold to stronger demand with European vealers and their crosses unchanged to 5c dearer, selling from 223c to 260c/kg. Yearling steers suitable for the trade sold to much stronger price trends, aided from spirited competition from several domestic processors and select butcher orders. Yearling trade steers to slaughter averaged 238.7c and reached a top price of 246c/kg. Medium weight yearling heifers suitable for the trade sold to steady demand from domestic buyers with prices lifting 3c to average 223.7c/kg. Feedlot competition was limited and prices for the lighter weight portion were unchanged while medium weight steers eased 6c/kg. Medium weight C2 steers over 400kg made from 215c to 246c/kg.

It was a very good quality selection of heavy grown steers and bullocks. Heavy grown steers sold to stronger domestic competition, with prices 3c/kg dearer.  Heavy bullocks over 600kg were in limited supply which resulted in a dearer price trend of 9c/kg. The better finished steers and bullocks made from 220c to 239.2c/kg. Friesian bullocks were keenly contested for by southern export processors with prices ranging from 176c to 192c/kg."
Yearling Steer,330-400,Restocker,C,2,32,4,202.0,226.0,216.65625,0.5,388.5,434.6,415.6,733.2,881.4,811.6306343078613
Yearling Steer,400+,Feeder,C,2,394,209,200.0,246.0,228.94974548804578,2.5,384.6,473.1,439.5,827.0,1275.6,1050.9459598754263
Yearling Steer,400+,Feeder,C,3,1,NC,230.0,230.0,230,NC,434.0,434.0,434.0,968.3,968.3,968.2999877929688
Yearling Steer,400+,Processor,B,3,14,NC,236.0,238.0,237.42857142857142,NC,396.7,410.3,402.5,1014.8,1154.3,1096.5928955078125
Yearling Steer,400+,Processor,C,2,67,12,200.0,237.2,223.29552288909457,-2.7,384.6,456.2,427.7,842.5,1167.7,1017.3411081798041
Yearling Steer,400+,Processor,C,3,228,17,214.2,246.0,229.4087715818171,-0.6,387.5,440.7,418.6,891.0,1184.4,1068.7452082048383
Yearling Steer,400+,Restocker,C,2,5,3,197.2,217.6,202.87999572753907,-8.5,379.2,418.5,388.7,798.7,894.3,824.2751953125
Yearling Steer,400+,Restocker,C,3,9,NQ,217.2,217.2,217.19999186197916,NQ,409.8,409.8,409.8,970.9,970.9,970.8840060763889
Yearling Steer,400+,Restocker,D,2,1,NC,204.6,204.6,204.60000610351562,NC,393.5,393.5,393.5,820.4,820.4,820.446044921875
Yearling Heifer,200-280,Feeder,D,2,3,NC,180.0,180.0,180,NC,346.2,346.2,346.2,486.0,486.0,486
Yearling Heifer,200-280,Processor,C,2,2,NQ,195.0,195.0,195,NQ,367.9,367.9,367.9,532.3,532.3,532.3499755859375
Yearling Heifer,200-280,Processor,D,3,7,NC,184.0,184.0,184,NC,347.2,347.2,347.2,515.2,515.2,515.2000209263393
Yearling Heifer,280-330,Dairy,C,2,3,NQ,181.6,181.6,181.60001627604166,NQ,349.2,349.2,349.2,595.6,595.6,595.6480305989584
Yearling Heifer,280-330,Feeder,C,2,64,5,200.0,220.0,209.61249923706055,-0.8,376.3,423.1,402.4,562.0,704.0,661.8537712097168
Yearling Heifer,280-330,Processor,C,2,13,NC,192.0,219.2,203.07692307692307,NC,362.3,405.9,380.2,556.8,635.7,594.8307635967548
Yearling Heifer,280-330,Processor,C,3,7,4,205.0,206.0,205.57142857142858,0.6,379.6,381.5,380.7,645.8,673.6,661.6757114955357
Yearling Heifer,280-330,Processor,D,2,5,NC,185.0,185.0,185,NC,355.8,355.8,355.8,582.8,582.8,582.75
Yearling Heifer,280-330,Processor,D,3,5,NC,195.0,195.0,195,NC,367.9,367.9,367.9,624.0,624.0,624
Yearling Heifer,280-330,Restocker,D,2,7,NC,182.0,192.0,189.14285714285714,NC,343.4,369.2,361.8,527.8,556.8,548.5142822265625
Yearling Heifer,330-400,Feeder,C,2,119,30,195.0,226.6,215.14790100610557,-1.2,375.0,435.8,410.3,694.2,906.4,824.6568008551077
Yearling Heifer,330-400,Feeder,C,3,29,17,196.0,214.0,207.48275862068965,-6.5,363.0,396.3,387.4,729.1,856.0,821.4424333243535
Yearling Heifer,330-400,Processor,B,2,29,NC,233.2,233.2,233.19999326508622,NC,416.4,416.4,416.4,909.5,909.5,909.4799973060345
Yearling Heifer,330-400,Processor,B,3,8,NC,229.0,229.0,229,NC,394.8,394.8,394.8,916.0,916.0,916
Yearling Heifer,330-400,Processor,C,2,20,15,213.6,225.2,216.5,-8.7,403.0,433.1,410.5,854.4,878.3,860.37001953125
Yearling Heifer,330-400,Processor,C,3,251,5,190.0,244.0,215.11713017315503,-0.3,351.9,435.7,396.3,636.5,951.6,825.7606935539094
Yearling Heifer,330-400,Processor,D,2,5,NC,180.0,180.0,180,NC,346.2,346.2,346.2,702.0,702.0,702
Yearling Heifer,330-400,Processor,D,3,24,19,180.0,196.0,186.6499989827474,-1.8,333.3,363.0,348.6,639.0,748.6,685.7269999186198
Yearling Heifer,330-400,Processor,D,4,2,NC,190.0,190.0,190,NC,351.9,351.9,351.9,731.5,731.5,731.5
Yearling Heifer,330-400,Restocker,C,2,15,NC,201.2,212.0,209.83999837239583,NC,372.6,407.7,400.7,716.3,826.8,804.6943684895833
Yearling Heifer,400+,Feeder,C,2,192,106,186.0,217.4,210.07708295186362,-1.1,357.7,418.1,399.4,757.0,941.3,871.4473946889242
Yearling Heifer,400+,Feeder,C,3,78,76,192.0,220.6,214.62821138822116,4.6,355.6,408.5,397.8,850.5,968.4,927.560080503806
Yearling Heifer,400+,Feeder,D,2,2,NC,180.0,180.0,180,NC,339.6,339.6,339.6,837.0,837.0,837
Yearling Heifer,400+,Processor,B,3,6,NC,232.2,233.2,232.69999186197916,NC,400.3,402.1,401.2,940.4,1131.0,1035.7150065104167
Yearling Heifer,400+,Processor,C,2,16,6,193.0,205.0,200.5,-4.5,371.2,386.8,380.9,822.0,874.3,841.6399841308594
Yearling Heifer,400+,Processor,C,3,414,108,192.0,237.2,216.87971083783873,-4.6,355.6,433.3,400.7,826.2,1113.3,971.1996773982394
Yearling Heifer,400+,Processor,D,3,18,13,165.0,202.0,188.52222357855902,-13.5,305.6,374.1,352.3,741.8,920.4,841.8370090060764
Yearling Heifer,400+,Restocker,C,2,16,6,190.5,216.0,208.6875,-2.2,359.4,415.4,400.5,824.1,950.6,860.9418334960938
Yearling Heifer,400+,Restocker,C,3,2,NC,205.0,205.0,205,NC,386.8,386.8,386.8,930.7,930.7,930.7000122070312
Vealer Steer,200-280,Feeder,C,2,8,2,222.0,240.0,226.5,4.5,418.9,428.6,421.3,494.4,621.6,589.7999801635742
Vealer Steer,200-280,Processor,B,2,7,NC,225.0,256.0,239.94285365513392,NC,401.8,457.1,428.5,586.0,630.0,599.3885498046875
Vealer Steer,200-280,Processor,C,2,2,NC,228.0,228.0,228,NC,430.2,430.2,430.2,627.0,627.0,627
Vealer Steer,200-280,Restocker,C,2,22,15,212.0,248.2,237.99090853604403,16.2,400.0,469.6,447.4,593.6,676.4,650.4158991033381
Vealer Steer,280-330,Feeder,B,2,2,NC,218.0,218.0,218,NC,375.9,375.9,375.9,695.4,695.4,695.4199829101562
Vealer Steer,280-330,Feeder,C,2,12,7,220.0,238.0,234.5,4.9,421.4,457.7,442.9,706.2,757.6,719.4249979654948
Vealer Steer,280-330,Processor,B,2,51,4,223.4,246.0,238.21960748410692,-1.1,391.4,439.3,419.5,652.5,808.5,739.3432138480392
Vealer Steer,280-330,Processor,C,2,10,NC,218.0,232.0,223.23999938964843,NC,396.4,433.1,411.5,632.2,743.2,701.5480041503906
Vealer Steer,280-330,Processor,C,3,3,NC,225.0,225.0,225,NC,401.8,401.8,401.8,742.5,742.5,742.5
Vealer Steer,280-330,Processor,D,2,2,NC,215.0,215.0,215,NC,405.7,405.7,405.7,709.5,709.5,709.5
Vealer Steer,280-330,Restocker,B,2,12,NC,246.6,246.6,246.60001627604166,NC,440.4,440.4,440.4,789.1,789.1,789.1199544270834
Vealer Steer,280-330,Restocker,C,2,33,2,206.2,258.2,233.84848900997278,-1.8,395.0,496.5,445.0,645.0,750.8,718.5240053119081
Vealer Steer,280-330,Restocker,D,2,2,NQ,194.2,194.2,194.1999969482422,NQ,366.4,366.4,366.4,567.1,567.1,567.06396484375
Vealer Steer,330+,Feeder,B,2,6,4,222.0,230.0,224.66666666666666,-5.3,396.4,396.6,396.5,794.8,805.0,798.17333984375
Vealer Steer,330+,Feeder,C,2,66,9,208.0,236.0,226.2636358087713,-1.3,378.6,446.5,421.7,757.1,1066.5,876.8213168057529
Vealer Steer,330+,Processor,B,2,325,59,206.2,260.2,242.66861623910756,-3.8,368.2,470.7,424.1,705.2,1196.9,924.7687297175481
Vealer Steer,330+,Processor,C,2,43,7,205.0,234.0,223.48837209302326,-1.4,386.8,448.5,410.9,753.8,954.0,825.6965104923692
Vealer Steer,330+,Processor,C,3,25,NC,225.0,237.2,231.65599609375,NC,416.7,439.3,429.0,801.0,963.5,909.423984375
Vealer Steer,330+,Restocker,B,2,4,NC,237.2,237.2,237.1999969482422,NC,409.0,409.0,409.0,925.1,925.1,925.0800170898438
Vealer Steer,330+,Restocker,C,2,27,25,196.2,245.6,226.01481910988136,16.0,370.2,463.4,430.2,724.5,835.2,800.265625
Vealer Heifer,200-280,Processor,B,2,7,2,215.0,230.0,222.28571428571428,-2.9,383.9,410.7,396.9,526.8,577.2,555.5857282366071
Vealer Heifer,200-280,Processor,C,2,19,NC,200.0,232.0,226.31578947368422,NC,377.4,437.7,427.0,560.0,649.6,633.6842105263158
Vealer Heifer,200-280,Restocker,C,2,5,NQ,225.0,225.0,225,NQ,424.5,424.5,424.5,609.8,609.8,609.75
Vealer Heifer,280-330,Feeder,C,2,22,10,195.0,215.0,204.21818126331675,-4.3,370.4,413.5,386.7,562.6,645.0,611.1021839488636
Vealer Heifer,280-330,Processor,B,2,136,19,214.0,252.0,233.59558801090017,-1.9,382.1,443.7,417.9,638.0,831.6,732.2092020371381
Vealer Heifer,280-330,Processor,C,2,47,2,214.0,236.0,226.76595647284324,-0.5,387.5,445.3,423.9,632.2,772.2,694.6960799846244
Vealer Heifer,280-330,Processor,C,3,16,10,205.0,223.0,211.54999828338623,-7.0,379.6,404.2,390.4,621.2,713.6,669.8509864807129
Vealer Heifer,280-330,Processor,C,4,2,NC,202.0,202.0,202,NC,381.1,381.1,381.1,606.0,606.0,606
Vealer Heifer,280-330,Processor,D,2,1,NC,180.0,180.0,180,NC,339.6,339.6,339.6,522.0,522.0,522
Vealer Heifer,280-330,Restocker,B,2,5,NC,212.0,212.0,212,NC,392.6,392.6,392.6,659.3,659.3,659.32001953125
Vealer Heifer,280-330,Restocker,C,2,2,NC,205.0,214.4,209.6999969482422,NC,386.8,397.0,391.9,656.0,675.4,665.6799926757812
Vealer Heifer,330+,Feeder,C,2,20,5,190.0,216.0,211.75,-4.3,358.5,415.4,406.5,703.2,756.0,746.572509765625
Vealer Heifer,330+,Feeder,C,3,4,NQ,202.0,202.0,202,NQ,374.1,374.1,374.1,715.1,715.1,715.0800170898438
Vealer Heifer,330+,Processor,B,2,306,19,212.0,255.0,237.57712400349138,-0.9,378.6,455.4,420.2,737.0,994.0,859.8836259031607
Vealer Heifer,330+,Processor,C,2,11,9,205.0,233.0,216.8181818181818,-16.2,380.4,431.5,396.5,721.6,906.4,769.5700073242188
Vealer Heifer,330+,Processor,C,3,14,8,210.0,218.0,213.12857055664062,-3.4,377.1,398.1,387.6,718.1,802.2,763.6907087053571
Vealer Heifer,330+,Restocker,B,2,5,NQ,224.0,224.0,224,NQ,400.0,400.0,400.0,996.8,996.8,996.8
Manufacturing Steer,0-540,Dairy,D,2,66,19,149.6,186.0,177.87272875236744,-3.7,287.7,357.7,338.3,691.2,980.2,888.9132856889205
Manufacturing Steer,0-540,Feeder,D,2,8,NQ,173.6,173.6,173.60000610351562,NQ,333.8,333.8,333.8,753.4,753.4,753.424072265625
Manufacturing Steer,0-540,Processor,C,3,14,5,160.0,188.0,180.07142857142858,-4.9,301.9,354.7,339.8,531.2,930.6,735.567853655134
Manufacturing Steer,0-540,Processor,D,2,29,7,150.0,194.0,177.82758515456626,-2.9,288.5,366.0,337.0,336.0,838.1,681.3586215315194
Manufacturing Steer,0-540,Processor,D,3,15,11,166.2,190.0,176.57333170572917,-2.2,313.6,358.5,333.2,649.3,931.0,750.5643717447916
Manufacturing Steer,540+,Dairy,D,2,52,NC,176.0,192.6,186.3846153846154,NC,325.9,369.2,351.2,959.2,1165.2,1081.8423227163462
Manufacturing Steer,540+,Feeder,D,2,21,NC,193.0,193.0,193,NC,371.2,371.2,371.2,1183.1,1183.1,1183.0899367559523
Manufacturing Steer,540+,Processor,D,2,5,NC,203.2,203.2,203.2,NC,390.8,390.8,390.8,1198.9,1198.9,1198.87998046875
Manufacturing Steer,540+,Processor,D,3,16,5,163.2,193.6,181.91250228881836,-7.9,302.2,365.3,341.8,891.1,1207.0,1055.4442138671875
Manufacturing Steer,540+,Processor,D,4,2,NC,204.0,204.0,204,NC,384.9,384.9,384.9,1244.4,1244.4,1244.4000244140625
Grown Steer,400-500,Feeder,C,2,4,NQ,222.2,222.2,222.1999969482422,NQ,411.5,411.5,411.5,1062.1,1062.1,1062.115966796875
Grown Steer,400-500,Feeder,C,3,5,NQ,229.4,229.4,229.4,NQ,424.8,424.8,424.8,1147.0,1147.0,1147
Grown Steer,400-500,Processor,C,2,7,NC,212.2,212.2,212.20000348772322,NC,408.1,408.1,408.1,1029.2,1029.2,1029.1700613839287
Grown Steer,400-500,Processor,C,3,27,NC,195.0,238.0,226.42962872540508,NC,361.1,425.0,409.5,955.5,1166.2,1100.0978009259259
Grown Steer,500-600,Feeder,C,2,2,NC,217.0,217.0,217,NC,401.9,401.9,401.9,1095.8,1095.8,1095.8499755859375
Grown Steer,500-600,Feeder,C,3,160,146,210.0,239.2,222.175,-1.8,383.9,427.1,398.8,1071.0,1253.5,1193.0010551452638
Grown Steer,500-600,Processor,C,3,648,48,192.0,239.2,224.00401261412068,-1.3,342.9,435.2,401.7,1010.0,1411.3,1232.5670668990524
Grown Steer,500-600,Processor,C,4,12,7,190.2,222.0,209.61666615804037,-12.4,339.6,396.4,374.3,1141.2,1219.8,1174.8041585286458
Grown Steer,500-600,Processor,D,3,25,17,190.0,196.0,192.17599975585938,-3.4,355.6,369.8,361.3,980.7,1048.3,1014.1207861328126
Grown Steer,500-600,Restocker,C,3,14,NQ,221.2,221.2,221.20000348772322,NQ,395.0,395.0,395.0,1318.4,1318.4,1318.3521205357142
Grown Steer,600-750,Feeder,C,3,12,NQ,236.0,236.0,236,NQ,421.4,421.4,421.4,1439.6,1439.6,1439.5999348958333
Grown Steer,600-750,Feeder,C,4,12,NQ,223.6,223.6,223.60001627604166,NQ,399.3,399.3,399.3,1455.6,1455.6,1455.6360677083333
Grown Steer,600-750,Processor,C,3,6,2,194.6,225.0,210.96666971842447,-8.2,347.5,401.8,378.9,1253.2,1352.3,1305.546366373698
Grown Steer,600-750,Processor,C,4,299,97,200.0,234.2,219.7096992926454,-1.9,357.1,418.2,393.2,1273.0,1653.8,1430.9006906975073
Grown Steer,600-750,Processor,D,3,1,NC,200.0,200.0,200,NC,357.1,357.1,357.1,1370.0,1370.0,1370
Grown Steer,600-750,Processor,D,4,8,2,190.0,200.0,192.04999923706055,0.4,345.0,377.4,353.3,1240.3,1306.0,1252.3359985351562
Grown Steer,750+,Processor,C,4,7,5,187.6,218.2,197.45714024135046,-20.7,335.0,389.6,352.6,1445.5,1658.3,1506.5703125
Grown Heifer,0-540,Processor,C,3,58,12,188.0,208.0,197.71379273513267,-1.5,348.1,385.2,366.4,761.4,1037.9,950.2125970248518
Grown Heifer,0-540,Processor,C,4,107,2,185.0,222.0,207.9999995721835,-0.3,344.4,411.1,385.8,925.0,1156.6,1078.719837224372
Grown Heifer,0-540,Processor,D,2,3,NQ,168.0,168.0,168,NQ,323.1,323.1,323.1,680.4,680.4,680.4000244140625
Grown Heifer,0-540,Processor,D,3,32,2,168.0,192.0,183.0625,-1.0,317.0,384.0,354.9,695.0,979.5,860.695011138916
Grown Heifer,0-540,Processor,D,4,7,5,180.2,185.0,182.34285627092635,2.1,333.7,349.1,342.2,926.8,961.0,945.4097202845982
Grown Heifer,540+,Processor,B,2,1,NC,202.6,202.6,202.60000610351562,NC,361.8,361.8,361.8,1195.3,1195.3,1195.3399658203125
Grown Heifer,540+,Processor,C,3,4,3,194.2,200.0,195.64999389648438,-4.4,359.6,370.4,362.3,1126.4,1220.0,1149.77001953125
Grown Heifer,540+,Processor,C,4,80,29,180.0,218.0,200.90749912261964,-4.5,339.6,403.7,372.9,1022.4,1505.7,1198.9535934448243
Grown Heifer,540+,Processor,C,5,1,NC,194.0,194.0,194,NC,359.3,359.3,359.3,1144.6,1144.6,1144.5999755859375
Grown Heifer,540+,Processor,D,4,11,8,174.0,186.0,179.8181818181818,-6.2,310.7,357.7,334.7,1015.6,1116.0,1078.2109042080965
Grown Heifer,540+,Processor,D,5,1,NQ,161.2,161.2,161.1999969482422,NQ,310.0,310.0,310.0,1128.4,1128.4,1128.4000244140625
Cows,0-400,Dairy,D,1,14,NC,136.0,138.2,137.25714111328125,NC,331.7,337.1,334.8,511.4,522.4,517.666277204241
Cows,0-400,Processor,D,2,7,NC,143.2,158.0,149.54285539899553,NC,325.5,359.1,339.9,565.6,632.0,594.0800083705357
Cows,0-400,Restocker,D,1,44,NC,132.0,173.6,162.327280217951,NC,322.0,423.4,395.9,465.9,555.5,523.8272816051136
Cows,0-400,Restocker,E,1,6,NC,110.0,110.0,110,NC,275.0,275.0,275.0,319.0,319.0,319
Cows,400-520,Dairy,D,1,64,NC,138.0,169.0,150.96875,NC,336.6,412.2,364.6,645.0,845.0,744.4859428405762
Cows,400-520,Dairy,D,2,5,NC,168.0,168.0,168,NC,381.8,381.8,381.8,749.3,749.3,749.280029296875
Cows,400-520,Dairy,D,3,1,NC,156.0,156.0,156,NC,331.9,331.9,331.9,748.8,748.8,748.7999877929688
Cows,400-520,Processor,D,1,26,NC,120.0,163.0,148.5,NC,292.7,397.6,362.2,516.0,784.0,649.53271484375
Cows,400-520,Processor,D,2,93,NC,152.0,174.0,163.7505378312962,NC,350.0,395.5,374.3,660.3,852.6,771.7055079962618
Cows,400-520,Processor,D,3,294,NC,160.0,190.2,176.626530861368,NC,333.3,396.3,368.3,763.3,971.9,865.8813727761612
Cows,400-520,Processor,D,4,71,NC,170.6,190.0,185.292958864024,NC,341.2,385.4,365.0,818.9,988.0,941.5657855826364
Cows,400-520,Processor,D,5,2,NC,174.2,174.2,174.1999969482422,NC,370.6,370.6,370.6,905.8,905.8,905.8400268554688
Cows,400-520,Restocker,D,1,30,NC,150.2,165.0,160.55999959309895,NC,366.3,402.4,391.6,617.3,700.9,673.12001953125
Cows,400-520,Restocker,D,2,35,NC,160.0,180.0,169.45142996651785,NC,363.6,375.0,370.5,688.0,878.4,802.0976004464286
Cows,520+,Dairy,D,1,25,NC,152.0,159.0,155.36,NC,350.0,387.8,370.7,791.9,925.5,890.45958984375
Cows,520+,Dairy,D,2,40,NC,164.0,186.0,172.54500045776368,NC,317.3,397.7,370.9,869.2,1386.0,1082.0205078125
Cows,520+,Processor,B,2,13,NC,182.0,200.0,187.87692260742188,NC,350.0,379.2,359.2,1032.3,1300.0,1108.2016038161057
Cows,520+,Processor,C,4,34,NC,189.2,194.2,192.89999928193933,NC,363.8,373.5,371.0,1058.4,1164.0,1130.5632467830883
Cows,520+,Processor,D,2,7,NC,162.0,174.0,169.4857134137835,NC,368.2,395.5,385.2,860.2,969.0,930.7262660435268
Cows,520+,Processor,D,3,303,NC,164.0,192.6,180.90098979685567,NC,328.8,401.3,372.4,910.2,1473.8,1042.1807113999973
Cows,520+,Processor,D,4,907,NC,172.0,201.6,188.9629552435323,NC,330.8,402.1,366.2,931.0,1574.3,1183.7454062801476
Cows,520+,Processor,D,5,105,NC,160.0,188.6,178.06857386997768,NC,333.3,384.9,369.7,913.5,1508.5,1150.7501313709076
Cows,520+,Processor,D,6,11,NC,157.2,167.2,165.69091103293678,NC,357.3,363.5,361.6,823.7,1170.4,1069.8843605735085
Cows,520+,Processor,E,4,2,NC,197.2,197.2,197.1999969482422,NC,379.2,379.2,379.2,1455.3,1455.3,1455.3359375
Cows,520+,Restocker,D,2,2,NC,173.2,173.2,173.1999969482422,NC,393.6,393.6,393.6,918.0,918.0,917.9600219726562
Calves,80+,Processor,C,2,5,NC,214.0,214.0,214,NC,403.8,403.8,403.8,406.6,406.6,406.6
Bulls,0-450,Processor,B,2,3,NC,205.0,234.0,218,NC,366.1,417.9,389.3,656.0,912.6,809.5333251953125
Bulls,0-450,Processor,C,2,29,2,136.2,205.0,188.43448296908676,-3.9,257.0,374.1,341.4,317.3,811.8,712.1960049333244
Bulls,0-450,Processor,D,2,2,NC,184.0,184.0,184,NC,328.6,328.6,328.6,631.1,631.1,631.1199951171875
Bulls,450-600,Dairy,D,2,6,NC,170.0,175.0,170.83333333333334,NC,314.8,330.2,321.3,805.8,1050.0,877.9499918619791
Bulls,450-600,Processor,B,2,1,NC,200.0,200.0,200,NC,357.1,357.1,357.1,908.0,908.0,908
