Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: TRLX Tamworth
Report Date: 18/11/2024
Comparison Date: 
Total Yarding: 2630 (NQ)
Commentary
"An influx of heavy weight feeder steers and large runs of well finished heavy weight cows accounted for much of the rise in numbers. Young cattle were well supplied while export processors were also well catered for. Overall the quality and condition of the offering was fair to good however there was a smaller percentage of plainer quality and conditioned cattle. The full field of buyers were in attendance along with an extra export processor. 

The outstanding seasonal conditions contributed to the strong demand from restockers for light weight young cattle. This resulted in dearer trends in both the steers and the heifers with the steer portion showing the greater improvement. There was little change in market trends for the medium and heavy weight yearling steers to restock and feed with some quality related improvement. Heavy trade steers also experienced little change. Medium and heavyweight yearling heifers to feed and to process sold on firm to slightly dearer trends with an isolated sale to the trade showing a significant rise under strong restocker competition.

Well finished heavy grown steers sold to dearer trends under higher demand and strong competition. The well finished grown heifers were also keenly sought to record a moderate improvement. Despite extra competition the cow market saw trends firm to cheaper with the medium weights showing little change while the large numbers of well finished heavy weights contributed to those classes being cheaper. The bull market followed a similar trend."
Yearling Heifer,200-280,Restocker,C,2,19,-60,259.0,302.0,297.94736842105266,38.9,498.1,580.8,573.0,712.3,825.0,818.5605276007401
Yearling Heifer,280-330,Feeder,C,2,46,-43,277.0,308.0,297.39130434782606,-0.6,532.7,592.3,571.9,831.0,990.0,954.2521654211956
Yearling Heifer,280-330,Processor,C,3,2,NQ,292.0,292.0,292,NQ,561.5,561.5,561.5,963.6,963.6,963.5999755859375
Yearling Heifer,280-330,Restocker,C,2,115,85,276.0,332.0,311.704347826087,22.4,530.8,638.5,599.1,803.7,1062.4,983.807839567765
Yearling Heifer,280-330,Restocker,C,3,3,NQ,293.0,293.0,293,NQ,552.8,552.8,552.8,908.3,908.3,908.2999674479166
Yearling Heifer,330-400,Feeder,C,2,102,-138,285.0,326.0,307.8333333333333,7.6,548.1,626.9,592.0,969.0,1304.0,1134.078431372549
Yearling Heifer,330-400,Feeder,C,3,3,NQ,316.0,316.0,316,NQ,596.2,596.2,596.2,1137.6,1137.6,1137.5999348958333
Yearling Heifer,330-400,Processor,C,3,5,NQ,300.0,305.0,302,NQ,566.0,575.5,569.8,1021.8,1050.0,1038.7
Yearling Heifer,330-400,Restocker,C,2,3,NQ,278.0,294.0,288.6666666666667,NQ,534.6,565.4,555.1,1014.7,1058.4,1043.8333536783855
Yearling Heifer,330-400,Restocker,C,3,9,NQ,282.0,282.0,282,NQ,532.1,532.1,532.1,1128.0,1128.0,1128
Yearling Heifer,400+,Feeder,C,2,2,-35,262.0,262.0,262,-45.7,503.8,503.8,503.8,1074.2,1074.2,1074.199951171875
Yearling Heifer,400+,Feeder,C,3,54,45,298.0,328.0,318.2962962962963,-1.7,573.1,607.4,594.4,1251.6,1541.6,1424.4259078414352
Yearling Heifer,400+,Processor,C,3,41,36,280.0,360.0,323.8780487804878,12.9,538.5,666.7,603.7,1176.0,1908.0,1554.3548971036585
Manufacturing Steer,0-540,Dairy,D,2,27,NQ,200.0,230.0,227.77777777777777,NQ,400.0,460.0,455.6,950.0,1069.5,1060.648148148148
Manufacturing Steer,540+,Dairy,D,2,13,NQ,215.0,215.0,215,NQ,413.5,413.5,413.5,1182.5,1182.5,1182.5
Manufacturing Steer,540+,Processor,C,4,1,NQ,330.0,330.0,330,NQ,611.1,611.1,611.1,2739.0,2739.0,2739
Grown Steer,0-400,Feeder,C,2,32,25,290.0,300.0,295.375,-61.6,557.7,576.9,568.0,1087.5,1140.0,1112.3250045776367
Grown Steer,0-400,Feeder,D,2,8,NQ,280.0,280.0,280,NQ,560.0,560.0,560.0,1120.0,1120.0,1120
Grown Steer,0-400,Restocker,D,2,9,NQ,290.0,290.0,290,NQ,580.0,580.0,580.0,1073.0,1073.0,1073
Grown Steer,400-500,Feeder,C,2,14,NQ,280.0,306.0,294.07142857142856,NQ,538.5,588.5,565.5,1358.0,1530.0,1449.1964285714287
Grown Steer,400-500,Processor,C,2,5,NQ,260.0,308.0,279.2,NQ,500.0,592.3,536.9,1261.0,1416.8,1323.32001953125
Grown Steer,400-500,Processor,C,3,2,NQ,300.0,300.0,300,NQ,555.6,555.6,555.6,1500.0,1500.0,1500
Grown Steer,500-600,Feeder,C,3,86,NQ,332.0,351.0,340.8953488372093,NQ,614.8,650.0,631.3,1726.4,1930.5,1808.258121934048
Grown Steer,500-600,Processor,C,2,3,NQ,300.0,310.0,303.3333333333333,NQ,576.9,596.2,583.3,1650.0,1705.0,1668.3333333333333
Grown Steer,500-600,Processor,C,3,14,NQ,322.0,360.0,339.14285714285717,NQ,596.3,666.7,628.0,1771.0,2012.5,1877.6214250837054
Grown Steer,600-750,Processor,C,3,25,NQ,351.0,366.0,355.52,NQ,650.0,677.8,658.4,2281.5,2562.0,2362.807998046875
Grown Steer,600-750,Processor,C,4,1,NQ,360.0,360.0,360,NQ,666.7,666.7,666.7,2376.0,2376.0,2376
Grown Heifer,0-540,Feeder,C,2,28,NQ,280.0,290.0,284.2857142857143,NQ,538.5,557.7,546.7,1305.0,1358.0,1335.2857142857142
Grown Heifer,0-540,Feeder,C,3,4,NQ,290.0,290.0,290,NQ,557.7,557.7,557.7,1305.0,1305.0,1305
Grown Heifer,0-540,Processor,C,2,39,31,242.0,270.0,260.4102564102564,-3.5,465.4,519.2,500.8,883.3,950.0,920.8666616586538
Grown Heifer,0-540,Processor,C,3,44,NQ,278.0,335.0,318.40909090909093,NQ,524.5,632.1,602.0,1181.5,1733.1,1554.0954645330255
Grown Heifer,0-540,Processor,D,3,22,NQ,230.0,278.0,265.8181818181818,NQ,460.0,545.1,522.0,966.0,1431.0,1239.0204412286932
Grown Heifer,0-540,Restocker,C,2,1,NQ,260.0,260.0,260,NQ,500.0,500.0,500.0,1014.0,1014.0,1014
Grown Heifer,540+,Processor,C,3,33,14,295.0,336.0,317.5151515151515,-0.5,567.3,634.0,601.1,1652.0,1848.0,1760.9909224076705
Grown Heifer,540+,Processor,C,4,11,NQ,314.0,334.0,331.3636363636364,NQ,592.5,630.2,625.2,1820.0,2104.2,2058.3453480113635
Grown Heifer,540+,Processor,D,4,8,NQ,280.0,280.0,280,NQ,560.0,560.0,560.0,1792.0,1792.0,1792
Cows,400-520,Processor,D,2,21,8,200.0,256.0,249.8095238095238,6.7,444.4,568.9,555.1,880.0,1289.6,1250.0380859375
Cows,400-520,Processor,D,3,14,NQ,253.0,265.0,261.42857142857144,NQ,538.3,557.4,553.7,1235.0,1378.0,1299.9285714285713
Cows,400-520,Restocker,D,2,11,NQ,224.0,256.0,253.0909090909091,NQ,497.8,568.9,562.4,1008.0,1241.6,1220.3636363636363
Cows,520+,Processor,D,3,163,141,245.0,285.0,268.77914110429447,-12.0,520.8,579.2,555.8,1323.0,2137.5,1487.5116663271665
Cows,520+,Processor,D,4,302,186,255.0,290.0,281.33112582781456,-13.3,510.0,580.0,563.6,1456.0,2181.2,1765.47153417322
Cows,520+,Processor,D,5,6,2,267.0,285.0,270,10.0,534.0,570.0,540.0,1869.0,1995.0,1890
Bulls,0-450,Processor,C,2,7,NQ,240.0,270.0,255.71428571428572,NQ,444.4,500.0,473.5,1080.0,1161.0,1097.5142996651787
Bulls,450-600,Processor,C,2,6,NQ,258.0,270.0,263.3333333333333,NQ,477.8,500.0,487.7,1205.2,1404.0,1333.8666585286458
Bulls,600+,Processor,B,2,2,-1,240.0,255.0,247.5,-4.8,428.6,455.4,442.0,1976.3,2040.0,2008.125
Bulls,600+,Processor,B,3,21,4,256.0,285.0,272.23809523809524,-6.2,457.1,508.9,486.1,2048.0,2517.5,2370.2619047619046
Bulls,600+,Processor,B,4,1,NQ,275.0,275.0,275,NQ,491.1,491.1,491.1,2612.5,2612.5,2612.5
Bulls,600+,Processor,C,2,7,NQ,220.0,270.0,240.71428571428572,NQ,407.4,500.0,445.8,1610.0,1971.0,1748.9285714285713
Bulls,600+,Processor,C,3,2,NQ,255.0,255.0,255,NQ,455.4,455.4,455.4,2167.5,2167.5,2167.5
